"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1443","Параметризированный тест создания заказа","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ с неверным хешем ингредиента]"
"","219","Параметризированный тест создания пользователя","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без пароля]"
"","9187","Параметризированный тест создания пользователя","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя с валидными данными]"
"","181","Параметризированный тест создания пользователя","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя с уже существующим email]"
"","657","Параметризированный тест авторизации","","2026-01-25","passed","2026-01-25","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с неверным паролем]"
"","710","Попытка создания пользователя с уже существующим email должна завершиться ошибкой","","2026-01-25","passed","2026-01-25","","api.UserApiTest","api.UserApiTest","createUserWithExistingEmailFails"
"","4560","Параметризированный тест создания заказа","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ с авторизацией и валидным ингредиентом]"
"","1066","Параметризированный тест создания заказа","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ без ингредиентов]"
"","650","Параметризированный тест авторизации","","2026-01-25","passed","2026-01-25","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с верными учетными данными]"
"","989","Параметризированный тест создания заказа","","2026-01-25","failed","2026-01-25","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ без авторизации]"
"","551","Создание уникального пользователя","","2026-01-25","passed","2026-01-25","","api.UserApiTest","api.UserApiTest","createUniqueUserSuccess"
"","425","Параметризированный тест авторизации","","2026-01-25","passed","2026-01-25","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с пустым паролем]"
"","227","Параметризированный тест создания пользователя","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без email]"
"","480","Параметризированный тест авторизации","","2026-01-25","passed","2026-01-25","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с несуществующим email]"
"","314","Параметризированный тест создания пользователя","","2026-01-25","passed","2026-01-25","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без имени]"
