"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1783","Параметризированный тест создания заказа","","2026-01-22","failed","2026-01-22","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ без авторизации]"
"","385","Параметризированный тест создания пользователя","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без имени]"
"","387","Параметризированный тест создания пользователя","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя с уже существующим email]"
"","933","Параметризированный тест авторизации","","2026-01-22","passed","2026-01-22","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с несуществующим email]"
"","759","Создание уникального пользователя","","2026-01-22","passed","2026-01-22","","api.UserApiTest","api.UserApiTest","createUniqueUserSuccess"
"","1842","Параметризированный тест создания заказа","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ без ингредиентов]"
"","9090","Параметризированный тест создания пользователя","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя с валидными данными]"
"","450","Параметризированный тест создания пользователя","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без пароля]"
"","5389","Параметризированный тест создания заказа","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ с авторизацией и валидным ингредиентом]"
"","800","Параметризированный тест авторизации","","2026-01-22","passed","2026-01-22","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с пустым паролем]"
"","939","Параметризированный тест авторизации","","2026-01-22","passed","2026-01-22","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с неверным паролем]"
"","947","Параметризированный тест авторизации","","2026-01-22","passed","2026-01-22","","Параметризированные тесты авторизации пользователя","api.ParametrizedAuthTest","parametrizedLoginTest[Вход с верными учетными данными]"
"","2071","Параметризированный тест создания заказа","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания заказа","api.ParametrizedOrderTest","parametrizedCreateOrderTest[Заказ с неверным хешем ингредиента]"
"","419","Параметризированный тест создания пользователя","","2026-01-22","passed","2026-01-22","","Параметризированные тесты создания пользователя","api.ParametrizedApiTest","parametrizedCreateUserTest[Создание пользователя без email]"
